"x";"y";"srid","name";"place";"population"
16750819;-4213206;3857;"Ulladulla";"town";-1
16967359;-3327624;3857;"Tooloom";"town";-1
16858532;-3954965;3857;"Terrigal";"town";-1
16986963;-3331633;3857;"Old Bonalbo";"town";-1
16845699;-3960266;3857;"Woy Woy";"town";-1
16872448;-3926677;3857;"Budgewoi";"town";-1
16866881;-3921659;3857;"Doyalson";"town";-1
16865027;-3941631;3857;"The Entrance";"town";-1
16856628;-3932863;3857;"Wyong";"town";-1
16986290;-3327227;3857;"Bean Creek";"town";-1
16981447;-3308591;3857;"Urbenville";"town";-1
17072556;-3258896;3857;"Mudgeeraba";"town";-1
16983844;-3361287;3857;"Tabulam";"town";-1
12793121;-3410735;3857;"Port Denison";"town";-1
16219807;-4026212;3857;"Goolgowi";"town";-1
16348473;-5031697;3857;"Bell Bay";"town";-1
16200645;-3959879;3857;"Hillston";"town";-1
16902611;-3066514;3857;"Kingaroy";"town";-1
16279688;-5036045;3857;"Turners Beach";"town";-1
16785729;-4096251;3857;"Dapto";"town";-1
16807264;-4054458;3857;"Helensburgh";"town";-1
16798303;-4093041;3857;"Port Kembla";"town";-1
16799719;-4071102;3857;"Thirroul";"town";-1
16500583;-3322812;3857;"Dirranbandi";"town";-1
16571753;-3329646;3857;"Thallon";"town";-1
15108978;-4064363;3857;"Cummins";"town";-1
16539328;-3444958;3857;"Collarenebri";"town";-1
16892313;-3863631;3857;"Raymond Terrace";"town";-1
16919063;-3103481;3857;"Yarraman";"town";-1
16932040;-3108862;3857;"Blackbutt";"town";-1
16885435;-3872981;3857;"Hexham";"town";-1
16190242;-4569805;3857;"Emerald";"town";-1
16729619;-3979748;3857;"Blackheath";"town";-1
16310808;-4343341;3857;"Eldorado";"town";-1
14940001;-2206798;3857;"";"town";-1
16445925;-5036928;3857;"Branxholm";"town";-1
13005678;-3671089;3857;"Goomalling";"town";-1
16472985;-3430255;3857;"Lightning Ridge";"town";-1
15373899;-4246337;3857;"Cape Jervis";"town";-1
14866484;-1985278;3857;"Elliott";"town";-1
16928083;-3021697;3857;"Goomeri";"town";-1
16757418;-3955410;3857;"Bilpin";"town";-1
16585527;-3372903;3857;"Mungindi";"town";-1
16909993;-3240338;3857;"Clifton";"town";-1
16496016;-5098242;3857;"St Marys";"town";-1
16444466;-5128166;3857;"Avoca";"town";-1
16471934;-5107181;3857;"Fingal";"town";-1
15723134;-4352978;3857;"Kaniva";"town";-1
16772260;-3970541;3857;"Kurrajong";"town";-1
16078611;-4533642;3857;"Bacchus Marsh";"town";-1
15961287;-4499112;3857;"Beaufort";"town";-1
16574555;-3549254;3857;"Pilliga";"town";-1
16573647;-2702203;3857;"Blackwater";"town";-1
16333372;-4378079;3857;"Myrtleford";"town";-1
16200271;-5078209;3857;"Waratah";"town";-1
13051456;-3717602;3857;"Cunderdin";"town";-1
16789281;-3976104;3857;"Windsor";"town";-1
16879984;-3213225;3857;"Pittsworth";"town";-1
16775197;-3995431;3857;"Penrith";"town";-1
12916096;-3719251;3857;"Bullsbrook";"town";-1
16231798;-5017729;3857;"Somerset";"town";-1
17030968;-2995873;3857;"Coolooa Cove";"town";-1
15874717;-4634118;3857;"Alansford";"town";-1
15806129;-4320130;3857;"Jeparit";"town";-1
16807774;-3946555;3857;"Wisemans Ferry";"town";-1
16538294;-2979627;3857;"Injune";"town";-1
12986965;-3539565;3857;"Dalwallinu";"town";-1
15909189;-4613381;3857;"Terang";"town";-1
16833473;-3968292;3857;"Brooklyn";"town";-1
15558274;-4462048;3857;"Robe";"town";-1
17078924;-3167518;3857;"Kooringal";"town";-1
12909339;-3734825;3857;"Ellenbrook";"town";-1
16995873;-3039022;3857;"Dagun";"town";-1
16998463;-3059458;3857;"Brooloo";"town";-1
16984856;-3009711;3857;"Curra";"town";-1
15808493;-3431069;3857;"Tibooburra";"town";-1
16969083;-3024098;3857;"Widgee";"town";-1
16256994;-4694589;3857;"Waratah  Bay";"town";-1
16828018;-3357248;3857;"Texas";"town";-1
16966163;-2846988;3857;"Burnett Heads";"town";-1
16871851;-2793610;3857;"Miriam Vale";"town";-1
16274440;-4062418;3857;"Yenda";"town";-1
16327788;-4315152;3857;"Barnawartha";"town";-1
15635709;-4062859;3857;"Barmera";"town";-1
15981246;-4114856;3857;"Balranald";"town";-1
15305026;-4095759;3857;"Port Victoria";"town";-1
15471266;-3578681;3857;"Nepabunna Aboriginal Community";"town";-1
16809489;-4003809;3857;"Parramatta";"town";-1
16798617;-3997160;3857;"Blacktown";"town";-1
15346689;-4133761;3857;"Port Vincent";"town";-1
15421129;-3819140;3857;"Carrieton";"town";-1
15409146;-3748552;3857;"Hawker";"town";-1
15395605;-3919893;3857;"Laura";"town";-1
16554939;-4087779;3857;"Boorowa";"town";-1
16246292;-3515334;3857;"Bourke";"town";-1
16765723;-4144038;3857;"Bomaderry";"town";-1
16864886;-3586244;3857;"Uralla";"town";-1
15983937;-4627233;3857;"Colac";"town";-1
15927309;-4625974;3857;"Cobden";"town";-1
15935364;-4612227;3857;"Camperdown";"town";-1
15810074;-4543265;3857;"Hamilton";"town";-1
16793151;-4119381;3857;"Kiama";"town";-1
16075770;-3375530;3857;"Hungerford";"town";-1
16683978;-4429291;3857;"Pambula";"town";-1
17029100;-3175045;3857;"Mitchelton";"town";-1
15456864;-4134415;3857;"Kersbrook";"town";-1
15430402;-3860067;3857;"Orroroo";"town";-1
16063479;-3881599;3857;"Ivanhoe";"town";-1
16977682;-3787236;3857;"Forster";"town";-1
15383109;-3872300;3857;"Melrose";"town";-1
15429880;-3961814;3857;"Spalding";"town";-1
16828546;-3837892;3857;"Singleton";"town";-1
15853908;-3814959;3857;"Menindee";"town";-1
13372794;-4021229;3857;"Hopetoun";"town";-1
16895851;-3840653;3857;"Clarence Town";"town";-1
15960864;-3705311;3857;"Wilcannia";"town";-1
16192929;-1860901;3857;"Port Douglas";"town";-1
16234600;-3697800;3857;"Cobar";"town";-1
17053234;-3188846;3857;"Capalaba";"town";-1
16304982;-4326002;3857;"Springhurst";"town";-1
17071560;-3215596;3857;"Cabbage Tree Point";"town";-1
16893291;-3816595;3857;"Dungog";"town";-1
16976029;-3786376;3857;"Tuncurry";"town";-1
